"pinName","manufacturer","date","Type","estimatedValue","cabinet","displayType","url","rating","ratingsCount.href","ratingsCount.text","makeAndYear","index","gameDesign","artwork","sound","otherRating","staffRating","lowValue","highValue","avgValue","staffValue","age","nameLink"
"Black Knight 2000","Williams Electronic Games, Inc.",1989,"Type Solid state","$2030 - $2370","Normal","Alphanumeric","https://pinside.com/pinball/archive/black-knight-2000",7.778,"https://pinside.com/pinball/archive/black-knight-2000/ratings","354 ratings","Williams, 1989",65,7.546,7.943,7.624,7.773,7.726,2030,2370,2200,284.752782811287,27,"<a href=""https://pinside.com/pinball/archive/black-knight-2000""target = _blank>Black Knight 2000</a>"
"Ripley's Believe It or Not!","Stern Pinball, Inc.",2004,"Type Solid state","$3240 - $3760","Normal","Dot Matrix","https://pinside.com/pinball/archive/ripleys-believe-it-or-not",7.776,"https://pinside.com/pinball/archive/ripleys-believe-it-or-not/ratings","444 ratings","Stern, 2004",66,8.027,7.505,7.34,7.908,7.581,3240,3760,3500,461.680517082179,12,"<a href=""https://pinside.com/pinball/archive/ripleys-believe-it-or-not""target = _blank>Ripley's Believe It or Not!</a>"
"Terminator 2: Judgment Day","Williams Electronic Games, Inc.",1991,"Type Solid state","$2130 - $2470","Normal","Dot Matrix","https://pinside.com/pinball/archive/terminator-2-judgment-day",7.769,"https://pinside.com/pinball/archive/terminator-2-judgment-day/ratings","725 ratings","Williams, 1991",67,7.846,7.728,7.462,7.909,7.45,2130,2470,2300,308.724832214765,25,"<a href=""https://pinside.com/pinball/archive/terminator-2-judgment-day""target = _blank>Terminator 2: Judgment Day</a>"
"Centaur","Bally Manufacturing Co.",1981,"Type Solid state","$3050 - $3550","Normal","Digital","https://pinside.com/pinball/archive/centaur",7.767,"https://pinside.com/pinball/archive/centaur/ratings","251 ratings","Bally, 1981",68,7.691,8.406,7.099,7.752,7.902,3050,3550,3300,417.615793470008,35,"<a href=""https://pinside.com/pinball/archive/centaur""target = _blank>Centaur</a>"
"Junk Yard","Williams Electronic Games, Inc.",1996,"Type Solid state","$2960 - $3440","Normal","Dot Matrix","https://pinside.com/pinball/archive/junk-yard",7.762,"https://pinside.com/pinball/archive/junk-yard/ratings","417 ratings","Williams, 1996",69,7.788,8.014,7.323,7.632,7.702,2960,3440,3200,415.476499610491,20,"<a href=""https://pinside.com/pinball/archive/junk-yard""target = _blank>Junk Yard</a>"
"Johnny Mnemonic","Williams Electronic Games, Inc.",1995,"Type Solid state","$2310 - $2690","Normal","Dot Matrix","https://pinside.com/pinball/archive/johnny-mnemonic",7.753,"https://pinside.com/pinball/archive/johnny-mnemonic/ratings","363 ratings","Williams, 1995",70,8.154,7.146,7.431,7.878,7.818,2310,2690,2500,319.774878485546,21,"<a href=""https://pinside.com/pinball/archive/johnny-mnemonic""target = _blank>Johnny Mnemonic</a>"
"Jurassic Park","Data East USA, Inc.",1993,"Type Solid state","$2220 - $2580","Normal","Dot Matrix","https://pinside.com/pinball/archive/jurassic-park",7.75,"https://pinside.com/pinball/archive/jurassic-park/ratings","449 ratings","Data East, 1993",71,7.842,7.61,7.411,7.978,7.865,2220,2580,2400,305.149396058487,23,"<a href=""https://pinside.com/pinball/archive/jurassic-park""target = _blank>Jurassic Park</a>"
"The Who's Tommy Pinball Wizard","Data East USA, Inc.",1994,"Type Solid state","$2770 - $3230","Normal","Dot Matrix","https://pinside.com/pinball/archive/tommy-pinball-wizard",7.738,"https://pinside.com/pinball/archive/tommy-pinball-wizard/ratings","271 ratings","Data East, 1994",72,7.84,7.342,7.727,7.749,8.056,2770,3230,3000,372.393247269116,22,"<a href=""https://pinside.com/pinball/archive/tommy-pinball-wizard""target = _blank>The Who's Tommy Pinball Wizard</a>"
"Diner","Williams Electronic Games, Inc.",1990,"Type Solid state","$1760 - $2040","Normal","Alphanumeric","https://pinside.com/pinball/archive/diner",7.732,"https://pinside.com/pinball/archive/diner/ratings","224 ratings","Williams, 1990",73,7.74,8.083,6.815,7.868,7.194,1760,2040,1900,264.10897970531,26,"<a href=""https://pinside.com/pinball/archive/diner""target = _blank>Diner</a>"
"Batman Forever","Sega Pinball, Inc. (US)",1995,"Type Solid state","$2220 - $2580","Wide body","Dot Matrix","https://pinside.com/pinball/archive/batman-forever",7.729,"https://pinside.com/pinball/archive/batman-forever/ratings","187 ratings","Sega, 1995",74,7.652,7.927,7.403,7.73,8.31,2220,2580,2400,288.808664259928,21,"<a href=""https://pinside.com/pinball/archive/batman-forever""target = _blank>Batman Forever</a>"
